时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-08-14 08:00:00,120949.67,LOW_OSCILLATION,做多,0.6,-0.6401263197896024,0.006696436576132122,-0.5320719862965069,0.9947307652650311,0.3468327775026513,True,
2025-08-14 20:00:00,118295.09,LOW_OSCILLATION,做多,0.6,-0.5761216920129129,0.005593075003711822,-0.5320719862965069,0.5817779103316446,-1.3537653451571794,True,
2025-08-15 00:00:00,118968.91,LOW_OSCILLATION,做多,0.6,-0.5538578450277368,0.0027356698283201733,0.6540682150561441,0.522357206601743,-0.7169918936929405,True,
2025-08-27 16:00:00,112080.69,LOW_OSCILLATION,做多,0.6,-0.30814219022955897,-0.005369361279819106,-0.07650371027249336,0.5461639643110971,0.26952440090696533,True,
2025-08-27 20:00:00,111262.01,LOW_OSCILLATION,做多,0.6,-0.3391381133705935,-0.008024826870911763,-0.07650371027249336,0.7481286805715702,-0.4189830231738492,True,
2025-08-28 04:00:00,113114.11,LOW_OSCILLATION,做多,0.6,-0.4026654308694126,0.003314328740251748,0.5477121377377486,0.817583264615477,1.0983659643735686,True,
2025-08-28 12:00:00,112678.53,LOW_OSCILLATION,做多,0.6,-0.46796367131238437,-0.00023108195272603148,0.5477121377377486,1.0509701468803228,0.5618433608288507,True,
2025-08-28 16:00:00,111901.36,LOW_OSCILLATION,做多,0.6,-0.5011708688128151,-0.00485444006091349,0.5477121377377486,0.6411084836338397,-0.11922189773352632,True,
2025-08-29 04:00:00,110019.38,LOW_OSCILLATION,做多,0.6,-0.6025036791049512,-0.007419514690516773,-0.3457639667035008,1.7274220631815929,-1.6419067387726263,True,
2025-08-29 20:00:00,108377.4,LOW_OSCILLATION,做多,0.6,-0.7399543603426391,0.003135788336377422,-0.3457639667035008,1.1358943829325332,-2.200781587701137,True,
2025-08-30 00:00:00,108436.2,LOW_OSCILLATION,做多,0.6,-0.7744371850902422,-0.0009858400384838524,-0.3457639667035008,1.2300505987398176,-1.9471587425658514,True,
2025-08-30 04:00:00,108524.26,LOW_OSCILLATION,做多,0.6,-0.8088786104667665,0.00026954188864897677,-0.3457639667035008,1.143757154384635,-1.692681481382079,True,
2025-08-30 08:00:00,108680.01,LOW_OSCILLATION,做多,0.6,-0.8432341090663119,0.0006230725490961048,-0.3457639667035008,0.5385779558990268,-1.4059010694853784,True,
2025-08-30 12:00:00,108869.98,LOW_OSCILLATION,做多,0.6,-0.8774593860135568,0.00031281257120253404,-0.3457639667035008,0.5885642363758226,-1.1173917299951774,True,
2025-08-31 00:00:00,109223.84,LOW_OSCILLATION,做多,0.6,-0.9789159366609568,0.00385519964526576,-0.3457639667035008,0.7206988869860957,-0.5310546634790295,True,
2025-08-31 08:00:00,108389.76,LOW_OSCILLATION,做多,0.6,-1.0451074366908206,0.0017905378779841845,-0.3457639667035008,0.6668434354753796,-1.0837719413779308,True,
2025-08-31 12:00:00,108818.69,LOW_OSCILLATION,做多,0.6,-1.0776432162455603,0.006887152804279258,-0.3457639667035008,1.0244078469761382,-0.6268084427450663,True,
2025-08-31 16:00:00,108930.0,LOW_OSCILLATION,做多,0.6,-1.1097511893407568,-0.0029343985075915386,-0.3457639667035008,0.5190840144753737,-0.47538269562185803,True,
2025-08-31 20:00:00,108246.35,LOW_OSCILLATION,做多,0.6,-1.1413914526044577,-0.00729894297573106,-0.3457639667035008,0.5647501203015256,-0.9962854950834056,True,
2025-09-01 00:00:00,107660.01,LOW_OSCILLATION,做多,0.6,-1.1725249527516302,0.0008593303996984967,-0.3457639667035008,1.3620279883672546,-1.3886293931574307,True,
2025-09-01 04:00:00,109432.99,BULLISH_SINGULARITY,做多,0.6,-1.2031135490645104,0.021885043121494186,-0.3457639667035008,1.188074509137548,0.21287413804387972,True,
2025-09-01 12:00:00,108784.33,LOW_OSCILLATION,做多,0.6,-1.2625083935014043,0.0059540424282783265,-0.3457639667035008,0.9466299085628727,-0.3120957412614957,True,
2025-09-01 16:00:00,109217.64,LOW_OSCILLATION,做多,0.6,-1.2912434618741193,0.003969873056831906,-0.3457639667035008,0.6667709059605984,0.07688166955810564,True,
2025-09-01 20:00:00,109237.42,LOW_OSCILLATION,做多,0.6,-1.3192913795296786,-0.0038020960846129083,-0.3457639667035008,1.4388743514287827,0.08595023239212597,True,
2025-09-02 00:00:00,110322.18,LOW_OSCILLATION,做多,0.6,-1.346619445103979,0.009749190503747401,-0.43090088032071056,1.4923277651309668,0.9759884244113677,True,
2025-09-02 08:00:00,109733.34,LOW_OSCILLATION,做多,0.6,-1.3989915118935732,-0.00374105003074238,-0.43090088032071056,1.2131705730985065,0.31789567929154633,True,
2025-09-02 20:00:00,111240.01,LOW_OSCILLATION,做多,0.6,-1.4714076003484988,0.004125906142885424,-0.43090088032071056,0.692369452061827,1.3141126759353021,True,
2025-09-03 00:00:00,111054.01,LOW_OSCILLATION,做多,0.6,-1.4938031063554187,-0.005588905917790732,0.5278052750243878,0.9613212279414344,1.0345615555821104,True,
2025-09-03 04:00:00,111099.88,LOW_OSCILLATION,做多,0.6,-1.5152874215046737,0.0020851025261647174,0.5278052750243878,0.64346225723356,0.9727918435655472,True,
2025-09-03 08:00:00,111437.77,LOW_OSCILLATION,做多,0.6,-1.5358390807687163,0.0026282751498131482,0.5278052750243878,0.63628929280795,1.1565788206544665,True,
2025-09-03 12:00:00,112222.74,LOW_OSCILLATION,做多,0.6,-1.5554381928106054,0.004002703654767915,0.5278052750243878,1.420357788248189,1.688110670421076,True,
2025-09-03 16:00:00,112193.74,LOW_OSCILLATION,做多,0.6,-1.5740664687778794,-0.007302435720427143,0.5278052750243878,0.7774210970317674,1.5011872398692283,True,
2025-09-04 00:00:00,111148.97,LOW_OSCILLATION,做多,0.6,-1.608345522728941,-0.0006341025445906895,-0.34859769661808254,0.6046358005979585,0.4111346834653368,True,
2025-09-04 04:00:00,110463.36,LOW_OSCILLATION,做多,0.6,-1.6239679553419568,-0.0011843995125366243,-0.34859769661808254,0.9153657794991216,-0.1884451545465598,True,
2025-09-04 08:00:00,110810.0,LOW_OSCILLATION,做多,0.6,-1.638562898881478,0.009306442347356583,-0.34859769661808254,0.5195106195374984,0.11287273938463643,True,
2025-09-04 20:00:00,110730.87,LOW_OSCILLATION,做多,0.6,-1.6760919475551945,0.00583273030954454,-0.34859769661808254,0.8463131209436908,0.18936734584440132,True,
2025-09-05 00:00:00,111311.77,LOW_OSCILLATION,做多,0.6,-1.6864946961024727,-0.003231907814466874,0.7188476720878467,0.7062758632570026,0.6464338893992367,True,
2025-09-05 04:00:00,112954.32,LOW_OSCILLATION,做多,0.6,-1.695837464714648,0.009510248268257825,0.7188476720878467,1.461637902800368,1.9246858693613669,True,
