信号时间,信号类型,方向,开仓价,张力,DXY燃料,首次开仓盈亏%,最优开仓盈亏%,最优开仓周期,价格优势%,最优平仓盈亏%,最优平仓周期,是好机会,好机会类型,好机会盈亏%,好机会平仓周期,张力变化%
2025-12-30 08:00:00,LOW_OSCILLATION,long,87903.89,-1.0215229634275744,0.1730549118524102,1.2655412633047372,4.127360006479805,29,4.127360006479805,4.127360006479805,29,True,1,4.127360006479805,1,0.0
2025-12-30 12:00:00,LOW_OSCILLATION,long,89016.35,-1.034103712433436,0.1730549118524102,-0.8876908567920413,2.826053865385397,28,2.826053865385397,2.826053865385397,28,True,2,2.826053865385397,28,0.0
2025-12-30 16:00:00,LOW_OSCILLATION,long,88226.16,-1.0464680432059363,0.1730549118524102,0.2939377617704338,3.747006556785421,27,3.747006556785421,3.747006556785421,27,True,1,3.747006556785421,1,0.0
2025-12-30 20:00:00,LOW_OSCILLATION,long,88485.49,-1.0585985917283114,0.1730549118524102,-0.03667267932856747,3.442948668759132,26,3.442948668759132,3.442948668759132,26,True,2,3.442948668759132,26,0.0
2025-12-31 00:00:00,LOW_OSCILLATION,long,88453.04,-1.0704778452035622,-0.278312880572881,0.18097738641882943,5.002858013698577,30,5.002858013698577,5.002858013698577,30,True,1,5.002858013698577,1,0.0
2025-12-31 04:00:00,LOW_OSCILLATION,long,88613.12,-1.0820881647031464,-0.278312880572881,0.4495948229788193,4.813169878230228,29,4.813169878230228,4.813169878230228,29,True,1,4.813169878230228,1,0.0
2025-12-31 08:00:00,LOW_OSCILLATION,long,89011.52,-1.0934118084503948,-0.278312880572881,-1.1881046408375038,4.631692616865761,30,4.631692616865761,4.631692616865761,30,True,2,4.631692616865761,30,0.0
2025-12-31 12:00:00,LOW_OSCILLATION,long,87953.97,-1.104430955707338,-0.278312880572881,-0.46856327235711515,6.826025021951818,30,6.826025021951818,6.826025021951818,30,True,2,6.826025021951818,30,0.0
2025-12-31 16:00:00,LOW_OSCILLATION,long,87541.85,-1.115127731232176,-0.278312880572881,0.12150759893696024,7.723791535134325,30,7.723791535134325,7.723791535134325,30,True,1,7.723791535134325,1,0.0
2025-12-31 20:00:00,LOW_OSCILLATION,long,87648.22,-1.1254842302732426,-0.278312880572881,0.2256748625357171,7.593057793985997,29,7.593057793985997,7.593057793985997,29,True,1,7.593057793985997,1,0.0
2026-01-01 00:00:00,LOW_OSCILLATION,long,87846.02,-1.1354825440639484,-0.278312880572881,-0.2437674467209777,7.3507940371117435,28,7.3507940371117435,7.3507940371117435,28,True,2,7.3507940371117435,28,0.0
2026-01-01 04:00:00,LOW_OSCILLATION,long,87631.88,-1.1451047857819188,-0.278312880572881,0.448193054856286,7.613119791564428,27,7.613119791564428,7.613119791564428,27,True,1,7.613119791564428,1,0.0
2026-01-01 08:00:00,LOW_OSCILLATION,long,88024.64,-1.1543331169342788,-0.278312880572881,0.008565783398822873,7.132957317405666,26,7.132957317405666,7.132957317405666,26,True,1,7.132957317405666,1,0.0
2026-01-01 12:00:00,LOW_OSCILLATION,long,88032.18,-1.1631497741298735,-0.278312880572881,0.40777133998044945,7.123781326328624,25,7.123781326328624,7.123781326328624,25,True,1,7.123781326328624,1,0.0
2026-01-01 16:00:00,LOW_OSCILLATION,long,88391.15,-1.171537096198093,-0.278312880572881,0.506713624610608,6.68873524102809,24,6.68873524102809,6.68873524102809,24,True,1,6.68873524102809,1,0.0
2026-01-01 20:00:00,LOW_OSCILLATION,long,88839.04,-1.1794775516128984,-0.278312880572881,0.12563170425974954,6.150854399147042,23,6.150854399147042,6.150854399147042,23,True,1,6.150854399147042,1,0.0
