时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-18 04:00:00,106665.0,BEARISH_SINGULARITY,short,0.7,0.5153408248525874,-0.0397696644827768,0.6174394660159471,-1.9261019920377247,-0.1830327934496225,107070.41,107499.0,106439.38,2976.33507,-1.9261019920377254,True,
2025-10-18 08:00:00,107208.6,BEARISH_SINGULARITY,short,0.7,0.5602094015851565,-0.0481685423751324,0.49081057217268237,-1.2922036919403193,-0.1830327934496225,106665.01,107222.0,106605.93,2336.72819,-1.2922036919403193,True,
2025-10-18 12:00:00,106948.75,BEARISH_SINGULARITY,short,0.7,0.6020516664675726,-0.0588125745898761,0.30591833700144705,-1.3876211521064634,-0.1830327934496225,107208.61,107300.0,106739.33,1425.61863,-1.3876211521064634,True,
2025-10-18 16:00:00,107080.14,BEARISH_SINGULARITY,short,0.7,0.6456972663336857,-0.0691941054068366,0.20157309308972793,-1.1472399706408232,-0.1830327934496225,106948.75,107091.87,106484.0,911.25891,-1.1472399706408232,True,
2025-10-18 20:00:00,107185.01,BEARISH_SINGULARITY,short,0.7,0.697209995046165,-0.0781929005687787,0.19022834893212306,-0.9513385451313006,-0.1830327934496225,107080.14,107339.03,106851.84,804.94346,-0.9513385451313006,True,
2025-10-19 00:00:00,107275.78,BEARISH_SINGULARITY,short,0.7,0.7593394842984679,-0.0868035931032172,0.2569182839865265,-0.7854926484139723,-0.1830327934496225,107185.0,107367.16,106734.17,1058.1121,-0.7854926484139723,True,
2025-10-19 04:00:00,106786.0,BEARISH_SINGULARITY,short,0.7,0.7789157479337384,-0.0913800377871504,0.30716713571534704,-1.1218418484143784,-0.1830327934496225,107275.79,107290.0,106558.61,1247.19589,-1.1218418484143784,True,
2025-10-19 08:00:00,107783.47,BEARISH_SINGULARITY,short,0.7,0.763691959855655,-0.0921804266749053,1.2111382825971577,-0.1793917554558667,-0.1830327934496225,106786.0,108260.5,106103.36,5059.55867,-0.17939175545586675,True,
2025-10-19 12:00:00,108486.7,BEARISH_SINGULARITY,short,0.7,0.7475262114797756,-0.0894560790776122,0.8649022915716255,0.4267515960774907,-0.1830327934496225,107783.47,108621.68,107355.02,3636.47308,0.4267515960774907,True,
2025-10-19 16:00:00,108908.43,BEARISH_SINGULARITY,short,0.7,0.7601951966741639,-0.0866850015149199,0.5983789883136338,0.7387507616874506,-0.1830327934496225,108486.71,109450.07,108240.0,2430.56297,0.7387507616874506,True,
