信号索引,信号类型,方向,普通信号时间,普通信号价格,普通信号张力,普通信号加速度,普通信号量能比率,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能比率,开仓等待周期,开仓时间,开仓价格,开仓张力,开仓加速度,开仓量能比率,价格优势%,方向是否改变,持仓周期,平仓时间,平仓价格,平仓张力,平仓加速度,平仓量能比率,最优盈亏%
469,BEARISH_SINGULARITY,short,2025-12-23 00:00:00,88170.0,1.2572365833417385,-0.1400116559006363,0.9940232216758468,1.315763361300568,-0.12871702056909554,1.262999887616219,0,2025-12-23 00:00:00,88170.0,1.2572365833417385,-0.1400116559006363,0.9940232216758469,0.0,True,7,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,1.427322218441648
470,BEARISH_SINGULARITY,short,2025-12-23 04:00:00,87574.79,1.080178620322963,-0.1156680373000302,1.3120876895738125,1.2952014744455138,-0.1336016087997067,1.3667169523686171,1,2025-12-23 08:00:00,87856.65,0.9044514997655164,-0.0843769166797691,0.9277276007928297,0.3218506147716719,True,5,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,1.0757523761718613
471,BEARISH_SINGULARITY,short,2025-12-23 08:00:00,87856.65,0.9044514997655164,-0.0843769166797691,0.9277276007928296,1.2329474966797604,-0.1293032422796667,1.2833333528006985,0,2025-12-23 08:00:00,87856.65,0.9044514997655164,-0.0843769166797691,0.9277276007928297,0.0,True,5,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,1.0757523761718613
472,BEARISH_SINGULARITY,short,2025-12-23 12:00:00,87443.45,0.7281320277069203,-0.0491472058235664,2.035266008587535,1.1212871303405734,-0.11475383489215223,1.266995315520816,1,2025-12-23 16:00:00,87752.87,0.5894716502382605,-0.0212516680905539,1.7949081649775216,0.3538515463422341,True,3,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,0.9587606650357948
473,BEARISH_SINGULARITY,short,2025-12-23 16:00:00,87752.87,0.5894716502382605,-0.0212516680905539,1.7949081649775216,0.9857432431937112,-0.09345328927551677,1.3358779861442243,0,2025-12-23 16:00:00,87752.87,0.5894716502382605,-0.0212516680905539,1.7949081649775216,0.0,True,3,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,0.9587606650357948
474,HIGH_OSCILLATION,short,2025-12-23 20:00:00,87486.0,0.521598994486976,-0.0027649943208951,1.2713990188632958,0.8468448959770626,-0.06887007968590851,1.3892352840784736,0,2025-12-23 20:00:00,87486.0,0.521598994486976,-0.0027649943208951,1.2713990188632958,0.0,True,2,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,0.6566422056100418
475,HIGH_OSCILLATION,short,2025-12-24 00:00:00,87336.23,0.545120610788016,0.0009386906736819,0.8427486536725008,0.728158900551442,-0.04537835525685547,1.3640228560779157,0,2025-12-24 00:00:00,87336.23,0.545120610788016,0.0009386906736819,0.8427486536725008,0.0,True,1,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,0.48628158096588
476,HIGH_OSCILLATION,short,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,0.6470083537471667,-0.02741541137211957,1.2616948008345128,8,2025-12-25 12:00:00,88371.27,-0.4263973222042347,-0.0085513755477406,1.0130190818915767,1.6795700179251305,False,6,2025-12-26 12:00:00,87137.81,-0.1094037815191148,0.01955392127413,2.8284810949603263,1.3957703674508766
477,BEARISH_SINGULARITY,short,2025-12-24 08:00:00,87203.94,0.6057722959349148,-0.0308591516329772,0.6115861685342917,0.5972284864420664,-0.01849578386432092,1.2090045621247565,10,2025-12-26 00:00:00,88844.87,-0.4373894991017243,0.0557053045722434,2.705537060992342,1.8817154362520696,False,3,2025-12-26 12:00:00,87137.81,-0.1094037815191148,0.01955392127413,2.8284810949603263,1.9213939983253931
478,BEARISH_SINGULARITY,short,2025-12-24 12:00:00,87049.99,0.5919194872762799,-0.0500721328171796,1.1302906509664423,0.574526396370293,-0.018649938363256447,1.0581753358545742,9,2025-12-26 00:00:00,88844.87,-0.4373894991017243,0.0557053045722434,2.705537060992342,2.0618956992413096,False,3,2025-12-26 12:00:00,87137.81,-0.1094037815191148,0.01955392127413,2.8284810949603263,1.9213939983253931
